time,SHED,SANDA,SANDB,RESERVOIR,ROOF,AMBIENT,FOOTWARM,HEATERA,HEATERB,FLOOR,LOOP_PUMP,XFERA_PUMP,XFERB_PUMP,HEATER_A_FAN,HEATER_B_FANS,HEATER_A_ELEMENTS,HEATER_B_ELEMENTS,FOOT_WARMER,XFERA_HEAT,Watts,SHED_HUM,SANDA_HUM,SANDB_HUM,RESERVOIR_HUM,ROOF_HUM,AMBIENT_HUM,FOOTWARM_HUM,HEATERA_HUM,HEATERB_HUM,FLOOR_HUM,light, 
2025/02/15 04:59,44.24,49.64,51.62,49.28,36.50,33.26,,48.02,111.92,38.12,0,0,0,0,1,0,1,0,0,204.20,59.00,20.00,68.00,34.00,90.00,89.00,,20.00,10.00,81.00,65,
2025/02/15 05:00,44.24,49.46,51.62,49.28,36.68,33.26,,48.02,111.92,38.12,0,0,0,0,1,0,1,0,0,204.03,59.00,20.00,68.00,34.00,90.00,89.00,,20.00,10.00,81.00,66,
2025/02/15 05:01,44.24,49.46,51.62,49.28,36.68,33.26,,48.02,111.92,38.12,0,0,0,0,1,0,1,0,0,204.11,59.00,20.00,68.00,34.00,90.00,89.00,,20.00,10.00,81.00,67,
2025/02/15 05:02,44.24,49.46,51.62,49.28,36.68,33.26,,48.02,111.92,38.12,0,0,0,0,1,0,1,0,0,207.62,59.00,20.00,68.00,34.00,90.00,89.00,,20.00,10.00,81.00,64,
2025/02/15 05:03,44.24,49.28,51.62,49.28,36.68,33.26,,48.02,111.92,38.12,0,0,0,0,1,0,1,0,0,207.77,59.00,20.00,68.00,34.00,90.00,89.00,,20.00,10.00,81.00,66,
2025/02/15 05:04,44.24,49.28,51.62,49.28,36.68,33.26,,48.02,111.02,38.12,0,0,0,0,1,0,1,0,0,206.31,59.00,20.00,68.00,34.00,90.00,89.00,,20.00,10.00,81.00,65,
2025/02/15 05:05,44.24,49.28,51.62,49.28,36.50,33.26,,48.02,111.02,38.12,0,0,0,0,1,0,1,0,0,203.80,59.00,20.00,68.00,34.00,90.00,89.00,,20.00,10.00,81.00,67,
2025/02/15 05:06,44.24,49.28,51.62,49.28,36.50,33.26,,48.02,111.92,38.12,0,0,0,0,1,0,1,0,0,204.03,59.00,20.00,68.00,34.00,90.00,89.00,,20.00,10.00,81.00,65,
2025/02/15 05:07,44.24,49.28,51.62,49.28,36.50,33.26,,48.02,111.02,38.12,0,0,0,0,1,0,1,0,0,203.73,59.00,20.00,68.00,34.00,90.00,89.00,,20.00,10.00,81.00,65,
2025/02/15 05:08,44.24,49.28,51.62,49.28,36.50,33.26,,48.02,111.92,38.12,0,0,0,0,1,0,1,0,0,203.85,59.00,20.00,68.00,34.00,90.00,89.00,,20.00,10.00,81.00,67,
2025/02/15 05:09,44.24,49.28,51.62,49.10,36.50,33.26,,47.84,111.92,38.12,0,0,0,0,1,0,1,0,0,204.13,59.00,20.00,68.00,34.00,90.00,89.00,,20.00,10.00,81.00,65,
2025/02/15 05:10,44.24,49.28,51.62,49.10,36.50,33.26,,47.66,111.92,38.12,0,0,0,0,1,0,1,0,0,204.42,59.00,20.00,68.00,34.00,91.00,89.00,,20.00,10.00,81.00,64,
2025/02/15 05:11,44.06,49.28,51.62,49.10,36.50,33.26,,47.30,111.92,38.12,0,0,0,0,1,0,1,0,0,205.17,59.00,20.00,68.00,34.00,91.00,89.00,,20.00,10.00,81.00,67,
2025/02/15 05:12,44.06,49.28,51.62,48.92,36.32,33.08,,47.30,111.92,38.12,0,0,0,0,1,0,1,0,0,207.29,59.00,20.00,68.00,34.00,91.00,89.00,,20.00,10.00,81.00,68,
2025/02/15 05:13,43.70,49.28,51.62,48.74,36.50,33.08,,47.30,111.92,38.12,0,0,0,0,1,0,1,0,0,204.30,59.00,20.00,68.00,33.00,91.00,89.00,,20.00,10.00,81.00,66,
2025/02/15 05:14,43.52,49.28,51.62,48.92,36.32,33.26,,47.30,111.92,37.94,0,0,0,0,1,0,1,0,0,204.57,59.00,20.00,67.00,33.00,91.00,89.00,,20.00,10.00,81.00,64,
2025/02/15 05:15,43.52,49.28,51.62,48.92,36.32,33.08,,47.30,111.92,37.94,0,0,0,0,1,0,1,0,0,204.50,59.00,20.00,67.00,33.00,91.00,89.00,,20.00,10.00,81.00,67,
2025/02/15 05:16,43.52,49.28,51.62,48.74,36.14,32.90,,47.30,111.92,37.76,0,0,0,0,1,0,1,0,0,204.41,59.00,20.00,67.00,33.00,91.00,89.00,,20.00,10.00,81.00,65,
