CSV_HEADERS,time,"SHED","HEATSINK","SAND","RESERVOIR","ROOF","AMBIENT","FOOTER","LOOP_PUMP","XFER_PUMP","HEATER_FAN","HEATER","FOOT_WARMER","",
CSV_VALUES, 2024/10/16 14:27,81.68,79.16,83.30,93.56,107.96,77.54,76.10,1,1,0,0,1,,
CSV_VALUES, 2024/10/16 14:28,81.68,79.16,83.30,93.56,108.50,77.54,76.10,1,1,0,0,1,,
CSV_VALUES, 2024/10/16 14:29,80.78,79.16,83.30,94.46,108.50,77.54,76.10,1,1,0,0,1,,
CSV_VALUES, 2024/10/16 14:30,81.68,79.16,84.02,94.46,109.40,77.54,76.10,1,1,0,0,1,,
CSV_VALUES, 2024/10/16 14:31,81.68,79.16,84.02,94.46,108.50,77.54,76.10,1,1,0,0,1,,
CSV_VALUES, 2024/10/16 14:32,81.68,79.16,84.02,94.46,108.50,77.54,76.10,1,1,0,0,1,,
CSV_VALUES, 2024/10/16 14:33,82.40,79.16,84.02,94.46,107.60,77.90,77.54,1,1,0,0,1,,
CSV_VALUES, 2024/10/16 14:34,82.40,79.16,84.02,95.36,106.88,77.54,,1,1,0,0,0,,
CSV_VALUES, 2024/10/16 14:35,82.04,79.16,84.02,95.36,105.98,77.54,,1,1,0,0,0,,
CSV_VALUES, 2024/10/16 14:36,81.68,80.06,84.02,95.36,105.08,77.54,76.10,1,1,0,0,1,,
CSV_VALUES, 2024/10/16 14:37,81.68,80.06,84.74,95.36,104.18,77.54,81.68,1,1,0,0,1,,
CSV_VALUES, 2024/10/16 14:38,81.68,80.06,84.74,95.36,103.10,77.54,86.36,1,1,0,0,1,,
CSV_VALUES, 2024/10/16 14:39,81.68,80.06,84.74,95.36,102.20,77.54,91.04,1,1,0,0,0,,
CSV_VALUES, 2024/10/16 14:40,81.68,80.06,84.74,95.36,101.30,77.54,93.56,1,1,0,0,0,,
CSV_VALUES, 2024/10/16 14:41,81.68,80.06,84.74,95.36,100.40,77.54,95.36,1,1,0,0,0,,
CSV_VALUES, 2024/10/16 14:42,81.68,80.06,84.74,95.36,99.32,77.54,97.34,1,1,0,0,0,,
CSV_VALUES, 2024/10/16 14:43,81.68,80.06,85.10,95.36,98.60,77.54,98.42,1,1,0,0,0,,
CSV_VALUES, 2024/10/16 14:44,81.68,80.06,85.64,95.36,97.34,77.54,99.32,1,1,0,0,0,,
CSV_VALUES, 2024/10/16 14:45,81.68,80.06,85.64,94.64,97.34,76.64,101.30,1,1,0,0,0,,
